location,date,species,vial,count,method,fruit,season
HPO,9/3/19,Zaprionus indianus,1,208,NA,peaches,season
HPO,9/3/19,Zaprionus indianus,2,450,NA,peaches,season
HPO,9/3/19,Zaprionus indianus,3,366,NA,peaches,season
HPO,9/3/19,other,1,25,NA,peaches,season
HPO,9/3/19,other,2,28,NA,peaches,season
HPO,9/3/19,other,3,34,NA,peaches,season
CM,9/6/19,Zaprionus indianus,1,142,NA,peaches,season
CM,9/6/19,Zaprionus indianus,2,266,NA,peaches,season
CM,9/6/19,other,1,87,NA,peaches,season
CM,9/6/19,other,2,153,NA,peaches,season
CM,10/1/19,Zaprionus indianus,1,65,NA,apples,season
CM,10/1/19,Zaprionus indianus,2,64,NA,apples,season
CM,10/1/19,Zaprionus indianus,3,80,NA,apples,season
CM,10/1/19,other,1,116,NA,apples,season
CM,10/1/19,other,,145,NA,apples,season
CM,10/26/19,Zaprionus indianus,1,52,NA,apples,season
CM,10/26/19,Zaprionus indianus,2,22,NA,apples,season
CM,10/26/19,Zaprionus indianus,3,30,NA,apples,season
CM,10/26/19,other,1,191,NA,apples,season
HPO,7/2/20,other,1,999,NA,peaches,season
HPO,7/2/20,Zaprionus indianus,1,0,NA,peaches,season
CM,7/3/20,other,1,999,NA,peaches,season
CM,7/3/20,Zaprionus indianus,1,0,NA,peaches,season
HPO,7/16/20,Zaprionus indianus,1,5,NA,peaches,season
HPO,7/16/20,other,1,409,NA,peaches,season
CM,7/17/20,Zaprionus indianus,all,23,NA,peaches,season
CM,7/17/20,other,all,829,NA,peaches,season
HPO,8/4/20,Zaprionus indianus,1,44,NA,peaches,season
HPO,8/4/20,Zaprionus indianus,2,21,NA,peaches,season
HPO,8/4/20,Zaprionus indianus,3,47,NA,peaches,season
HPO,8/4/20,Zaprionus indianus,4,83,NA,peaches,season
HPO,8/4/20,Zaprionus indianus,5,28,NA,peaches,season
HPO,8/4/20,Zaprionus indianus,6,81,NA,peaches,season
HPO,8/4/20,other,1,16,NA,peaches,season
HPO,8/4/20,other,2,17,NA,peaches,season
HPO,8/4/20,other,3,56,NA,peaches,season
HPO,8/4/20,other,4,25,NA,peaches,season
HPO,8/4/20,other,5,82,NA,peaches,season
HPO,8/4/20,other,6,110,NA,peaches,season
CM,8/5/20,Zaprionus indianus,1,11,NA,peaches,season
CM,8/5/20,Zaprionus indianus,2,25,NA,peaches,season
CM,8/5/20,Zaprionus indianus,3,8,NA,peaches,season
CM,8/5/20,Zaprionus indianus,5,34,NA,peaches,season
CM,8/5/20,Zaprionus indianus,6,14,NA,peaches,season
CM,8/5/20,other,1,73,NA,peaches,season
CM,8/5/20,other,2,97,NA,peaches,season
CM,8/5/20,other,3,56,NA,peaches,season
CM,8/5/20,other,5,93,NA,peaches,season
CM,8/5/20,other,6,74,NA,peaches,season
HPO,8/20/20,Zaprionus indianus,1,24,net,pile,season
HPO,8/20/20,other,1,28,net,pile,season
HPO,8/20/20,Zaprionus indianus,2,58,net,pile,season
HPO,8/20/20,other,2,81,net,pile,season
HPO,8/20/20,other,3,55,net,peaches,season
HPO,8/20/20,Zaprionus indianus,3,192,net,peaches-barn,season
HPO,8/20/20,other,4,47,net,peaches-back,season
HPO,8/20/20,Zaprionus indianus,4,288,net,peaches-back,season
CM,8/21/20,other,1,19,net,apples,season
CM,8/21/20,Zaprionus indianus,1,8,net,apples,season
CM,8/21/20,other,2,47,asp,apples,season
CM,8/21/20,Zaprionus indianus,2,7,asp,apples,season
CM,8/21/20,other,3,30,asp,peaches,season
CM,8/21/20,Zaprionus indianus,3,10,asp,peaches,season
CM,8/21/20,Zaprionus indianus,4,107,net,peaches,season
CM,8/21/20,other,4,87,net,peaches,season
CM,8/21/20,Zaprionus indianus,5,30,net,peaches,season
CM,8/21/20,other,5,36,net,peaches,season
HPO,9/3/20,Zaprionus indianus,1,289,net,peaches,season
HPO,9/3/20,other,1,10,net,peaches,season
HPO,9/3/20,Zaprionus indianus,1,237,net,peaches,season
HPO,9/3/20,other,1,23,net,peaches,season
HPO,9/3/20,Zaprionus indianus,2,153,net,pile,season
HPO,9/3/20,other,2,120,net,pile,season
HPO,9/3/20,Zaprionus indianus,1,179,net,pile,season
HPO,9/3/20,other,1,151,net,pile,season
CM,9/4/20,Zaprionus indianus,2,73,net,peaches,season
CM,9/4/20,other,2,68,net,peaches,season
CM,9/4/20,Zaprionus indianus,1,19,net,apples,season
CM,9/4/20,other,1,21,net,apples,season
CM,9/4/20,Zaprionus indianus,2,11,net,apples,season
CM,9/4/20,other,2,25,net,apples,season
CM,9/4/20,Zaprionus indianus,1,145,net,peaches,season
CM,9/4/20,other,1,376,net,peaches,season
HPO,9/17/20,Zaprionus indianus,1,44,asp,peaches,season
HPO,9/17/20,other,1,70,asp,peaches,season
HPO,9/17/20,Zaprionus indianus,2,107,asp,peaches,season
HPO,9/17/20,other,2,81,asp,peaches,season
CM,9/18/20,Zaprionus indianus,1,77,asp,peaches,season
CM,9/18/20,other,1,158,asp,peaches,season
CM,9/18/20,Zaprionus indianus,2,51,asp,peaches,season
CM,9/18/20,other,2,130,asp,peaches,season
CM,9/18/20,Zaprionus indianus,1,30,asp,apples,season
CM,9/18/20,other,1,94,asp,apples,season
CM,9/18/20,Zaprionus indianus,2,19,asp,apples,season
CM,9/18/20,other,2,125,asp,apples,season
CM,9/30/20,Zaprionus indianus,1,27,asp,peaches,season
CM,9/30/20,other,1,65,asp,peaches,season
