date,location,vial,mel,non.mel,other,Z.indianus,total,fruit,method,season
6/22/2022,HPO,1,0,6,6,0,6,peaches,net,
6/23/2022,CM,1,0,20,20,0,20,peaches,asp,
6/23/2022,CM,2,0,1,1,0,1,peaches,asp,
6/23/2022,CM,3,0,21,21,0,21,peaches,net,
6/23/2022,CM,4,0,34,34,0,34,peaches,asp,
6/23/2022,CM,5,0,18,18,0,18,peaches,asp,
6/23/2022,CM,6,0,17,17,0,17,peaches,asp,
6/23/2022,CM,7,0,8,8,0,8,peaches,net,
6/24/2022,CM,1,0,32,32,0,32,peaches,asp/net,
7/6/2022,HPO,1,3,0,3,0,3,peaches,trap,
7/6/2022,HPO,2,2,4,6,0,6,peaches,net,
7/14/2022,CM,1,0,159,159,0,159,peaches,net,
7/14/2022,CM,2,0,33,33,0,33,peaches,net,
7/14/2022,CM,3,0,82,82,0,82,peaches,net,
7/22/2022,HPO,1,0,6,6,0,6,peaches,asp,
7/22/2022,HPO,2,0,6,6,2,8,peaches,asp,
7/22/2022,HPO,3,1,1,2,0,2,peaches,net,
7/22/2022,HPO,4,0,0,0,1,1,peaches,net,
7/22/2022,HPO,5,5,11,16,1,17,peaches,asp,
8/3/2022,HPO,1,0,1,1,1,2,peaches,net,
8/3/2022,HPO,2,0,2,2,0,2,peaches,asp,
8/3/2022,HPO,3,1,3,4,3,7,peaches,asp,
8/3/2022,HPO,4,3,4,7,4,11,peaches,asp,
8/17/2022,HPO,1,0,3,3,3,6,peaches,net,
8/17/2022,HPO,2,4,30,34,51,85,peaches,net,
8/17/2022,HPO,3,0,2,2,7,9,peaches,net,
8/17/2022,HPO,4,0,11,11,8,19,peaches,net,
8/17/2022,HPO,5,5,23,28,58,86,peaches,net,
8/17/2022,HPO,6,4,16,20,43,63,peaches,net,
8/17/2022,HPO,7,4,17,21,88,109,peaches,net,
8/17/2022,HPO,8,1,7,8,7,15,peaches,net,
8/17/2022,HPO,9,0,13,13,28,41,peaches,net,
8/17/2022,HPO,10,0,1,1,5,6,apples,net,
8/19/2022,CM,1,,51,51,53,104,peaches,net,
8/19/2022,CM,2,,46,46,13,59,peaches,net,
8/19/2022,CM,3,,49,49,33,82,peaches,net,
8/19/2022,CM,4,,95,95,11,106,peaches,net,
8/19/2022,CM,5,,44,44,36,80,peaches,net,
8/19/2022,CM,6,,74,74,22,96,peaches,net,
8/19/2022,CM,8,,58,58,10,68,peaches,net,
8/19/2022,CM,9,,76,76,29,105,peaches,net,
8/19/2022,CM,10,,91,91,27,118,peaches,net,
9/1/2022,HPO,1,0,0,0,1,1,apples,net,
9/1/2022,HPO,2,0,0,0,4,4,apples,net,
9/1/2022,HPO,3,0,1,1,5,6,apples,net,
9/1/2022,HPO,4,0,3,3,51,54,apples,net,
9/1/2022,HPO,5,0,0,0,3,3,apples,net,
9/1/2022,HPO,6,1,0,1,9,10,apples,net,
9/1/2022,HPO,7,0,0,0,8,8,apples,asp,
9/1/2022,HPO,8,0,1,1,17,18,apples,asp,
9/1/2022,HPO,9,0,2,2,2,4,apples,asp,
9/1/2022,HPO,10,0,0,0,12,12,apples,asp,
9/22/2022,HPO,1,0,1,1,15,16,apples,asp,
9/22/2022,HPO,2,0,1,1,11,12,apples,asp,
9/22/2022,HPO,3,1,5,6,5,11,apples,asp,
9/22/2022,HPO,4,0,1,1,8,9,apples,asp,
9/22/2022,HPO,5,0,8,8,10,18,apples,asp,
9/22/2022,HPO,6,0,1,1,5,6,apples,net,
9/22/2022,HPO,7,0,1,1,1,2,apples,net,
9/22/2022,HPO,8,0,1,1,8,9,apples,net,
9/22/2022,HPO,9,0,1,1,5,6,apples,net,
9/22/2022,HPO,10,0,0,0,24,24,apples,net,
9/30/2022,RAB,1,2,62,64,1,65,apples,net,lat
9/30/2022,RAB,2,1,59,60,7,67,apples,net,lat
9/30/2022,RAB,3,5,25,30,26,56,apples,net,lat
9/30/2022,RAB,4,2,16,18,12,30,apples,net,lat
9/30/2022,RAB,5,1,7,8,16,24,apples,net,lat
9/30/2022,RAB,6,3,25,28,30,58,apples,net,lat
9/30/2022,RAB,7,2,16,18,18,36,apples,net,lat
9/30/2022,RAB,8,3,124,127,2,129,apples,net,lat
9/30/2022,RAB,9,3,48,51,22,73,apples,net,lat
9/30/2022,RAB,10,4,104,108,12,120,apples,net,lat
9/30/2022,RAB,11,2,22,24,17,41,apples,net,lat
9/30/2022,HC,1,3,2,5,27,32,apples,net,lat
9/30/2022,HC,2,10,6,16,23,39,apples,net,lat
9/30/2022,HC,3,16,8,24,23,47,apples,net,lat
9/30/2022,HC,4,21,7,28,32,60,apples,net,lat
9/30/2022,HC,5,16,4,20,22,42,apples,net,lat
9/30/2022,HC,6,1,2,3,21,24,apples,net,lat
