location,date,species,vial,count,method,fruit
HPO,10/1/20,Zaprionus indianus,1,118,asp,apples
HPO,10/1/20,other,1,22,asp,apples
HPO,10/1/20,Zaprionus indianus,2,92,asp,apples
HPO,10/1/20,other,2,17,asp,apples
HPO,10/1/20,Zaprionus indianus,1,35,net,apples
HPO,10/1/20,other,1,7,net,apples
CM,10/14/20,Zaprionus indianus,1,6,net,apples
CM,10/14/20,other,1,99,net,apples
CM,10/14/20,Zaprionus indianus,1,4,net,apples
CM,10/14/20,other,1,223,net,apples
CM,10/14/20,Zaprionus indianus,1,8,asp,apples
CM,10/14/20,other,1,149,asp,apples
CM,10/28/20,Zaprionus indianus,1,12,net,apples
CM,10/28/20,other,1,16,net,apples
CM,10/28/20,Zaprionus indianus,1,47,asp,apples
CM,10/28/20,other,1,100,asp,apples
CM,10/28/20,Zaprionus indianus,2,52,asp,apples
CM,10/28/20,other,2,70,asp,apples
HPO,10/29/20,Zaprionus indianus,1,75,net,apples
HPO,10/29/20,other,1,84,net,apples
HPO,10/29/20,Zaprionus indianus,1,32,asp,apples
HPO,10/29/20,other,1,48,asp,apples
HPO,10/29/20,Zaprionus indianus,2,57,net,apples
HPO,10/29/20,other,2,38,net,apples
HPO,10/29/20,Zaprionus indianus,2,54,asp,apples
HPO,10/29/20,other,2,53,asp,apples
CM,11/10/20,Zaprionus indianus,1,23,net,apples
CM,11/10/20,other,1,67,net,apples
CM,11/10/20,Zaprionus indianus,1,29,asp,apples
CM,11/10/20,other,1,113,asp,apples
CM,11/10/20,Zaprionus indianus,1,117,asp,apples
CM,11/10/20,other,1,101,asp,apples
CM,11/10/20,Zaprionus indianus,1,59,net,apples
CM,11/10/20,other,1,81,net,apples
HPO,11/11/20,Zaprionus indianus,1,80,asp,apples
HPO,11/11/20,other,1,68,asp,apples
HPO,11/11/20,Zaprionus indianus,2,56,asp,apples
HPO,11/11/20,other,2,75,asp,apples
HPO,11/11/20,Zaprionus indianus,3,64,net,apples
HPO,11/11/20,other,3,70,net,apples
CM,8/21/20,other,1,19,net,apples
